"","User.ID","ISBN","Book.Rating"
"1",1,6,8
"2",1,98,7
"3",2,11,3
"4",2,13,3
"5",2,44,0
"6",2,46,0
"7",2,49,10
"8",2,83,5
"9",2,88,10
"10",2,91,0
"11",3,13,1
"12",3,14,0
"13",3,16,9
"14",3,38,8
"15",3,50,5
"16",3,62,6
"17",3,85,7
"18",3,100,1
"19",4,29,3
"20",4,88,0
"21",4,95,8
"22",4,96,10
"23",4,99,6
"24",5,53,10
"25",5,73,8
"26",5,88,0
"27",6,34,4
"28",6,36,5
"29",6,50,5
"30",6,55,1
"31",6,57,6
"32",6,73,2
"33",6,74,6
"34",6,92,1
"35",7,10,3
"36",7,29,10
"37",7,47,8
"38",7,49,3
"39",7,50,4
"40",7,57,2
"41",8,4,9
"42",8,33,10
"43",8,41,4
"44",8,51,1
"45",8,54,9
"46",8,61,4
"47",8,67,6
"48",8,74,5
"49",8,78,8
"50",8,82,1
"51",8,85,2
"52",8,98,5
"53",9,16,0
"54",9,31,9
"55",9,33,0
"56",9,85,4
"57",9,92,6
"58",10,5,4
"59",10,12,5
"60",10,23,4
"61",10,52,6
"62",10,53,6
"63",10,65,8
"64",10,68,6
"65",10,79,4
"66",10,80,4
"67",10,81,6
"68",10,93,6
"69",10,99,7
"70",11,40,9
"71",11,43,8
"72",11,54,3
"73",12,10,1
"74",12,12,5
"75",12,16,1
"76",12,44,9
"77",12,88,0
"78",12,94,2
"79",13,2,8
"80",13,9,6
"81",13,21,3
"82",13,65,6
"83",13,67,1
"84",13,74,0
"85",13,84,4
"86",13,87,6
"87",13,91,5
"88",13,95,4
"89",14,16,1
"90",14,39,8
"91",14,40,7
"92",14,58,4
"93",14,72,7
"94",14,97,1
"95",15,8,7
"96",15,24,4
"97",15,31,6
"98",15,53,2
"99",15,61,6
"100",15,70,6
"101",15,84,3
"102",15,89,1
"103",16,6,5
"104",16,26,2
"105",16,52,8
"106",16,55,7
"107",16,59,2
"108",16,72,6
"109",16,89,8
"110",17,3,3
"111",17,8,6
"112",17,76,5
"113",17,79,0
"114",17,94,6
"115",17,96,1
"116",17,97,6
"117",18,42,8
"118",18,47,5
"119",18,48,3
"120",18,59,0
"121",18,73,0
"122",18,82,7
"123",18,92,3
"124",19,5,1
"125",19,20,1
"126",19,28,1
"127",19,30,2
"128",19,44,7
"129",19,51,7
"130",19,62,9
"131",19,86,1
"132",19,92,7
"133",20,2,3
"134",20,50,3
"135",20,65,1
"136",20,82,3
"137",20,89,3
"138",20,94,6
"139",21,24,5
"140",21,60,3
"141",21,82,5
"142",21,98,1
"143",21,99,6
"144",22,14,0
"145",22,18,2
"146",22,42,5
"147",22,56,5
"148",22,69,0
"149",22,71,3
"150",22,75,6
"151",23,15,7
